DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Raltegravir,-9.7,152.24,444.423,0.91152,3,9,11,3,35,3,21,20,6,5,1
Daclatasvir,-9.5,174.64,738.89,6.222,4,8,17,4,83,4,50,40,8,6,0
Simeprevir,-9.3,156.89,749.956,5.25412,2,10,13,3,83,6,47,38,5,7,0
Dolutegravir,-8.9,100.87,419.384,1.3528,2,6,5,2,37,3,19,20,3,5,2
Cobicistat,-8.4,138.02,776.042,6.0007,3,10,22,4,86,3,53,40,7,5,0
Sovaldi,-8.4,158.18,529.458,1.6565,3,10,15,2,51,4,29,22,3,9,1
Ritonavir,-8.1,145.78,720.962,5.9052,4,9,23,4,76,3,48,37,6,5,0
Podofilox,-8.0,92.68,414.41,2.4092,1,8,8,2,43,1,22,22,0,8,0
Nelfinavir,-7.9,101.9,567.796,4.74762,4,6,12,2,74,2,45,32,3,4,0
Norvir,-7.9,145.78,720.962,5.9052,4,9,23,4,76,3,48,37,6,5,0
Telaprevir,-7.9,179.56,679.863,2.4459,4,8,14,1,94,6,53,36,7,6,0
Baloxavir Marboxil,-7.8,99.54,571.558,3.3912,0,10,5,3,47,3,23,27,3,7,2
Pleconaril,-7.8,74.18,381.354,4.68026,0,6,9,3,31,0,18,18,3,3,3
Combivir,-7.7,272.67,507.182,0.15472,5,15,14,1,35,7,16,10,5,13,0
Letermovir,-7.7,77.84,572.559,5.7074,1,8,8,3,53,2,28,29,4,4,4
Rilpivirine,-7.7,97.42,366.428,4.9891,2,6,7,3,27,1,18,22,6,0,0
Amprenavir,-7.6,131.19,505.637,2.4028,3,7,15,2,57,3,35,25,3,6,0
Delavirdine,-7.6,110.43,456.572,2.7171,3,6,9,3,44,3,28,22,6,3,0
Saquinavir,-7.6,166.75,670.855,3.0924,5,7,13,3,82,4,50,38,6,5,0
Doravirine,-7.5,105.7,425.754,2.65458,1,7,5,3,22,2,11,17,5,3,3
Entecavir,-7.5,130.05,277.284,-0.8278,4,7,5,2,25,2,15,12,5,3,0
Atazanavir,-7.4,171.22,704.869,4.2116,5,9,17,3,83,4,52,38,6,7,0
Lopinavir,-7.4,120.0,628.814,4.32814,4,5,20,3,76,3,48,37,4,5,0
Etravirine ,-7.3,120.64,435.285,4.7174,2,7,7,3,25,0,15,20,6,1,0
Famciclovir,-7.3,122.22,321.337,0.541,1,9,10,2,31,2,19,14,5,4,0
Indinavir,-7.3,118.03,613.803,2.8669,4,7,13,3,76,2,47,36,5,4,0
Nitazoxanide,-7.3,111.43,307.287,2.2289,1,7,5,2,17,3,9,12,3,5,0
Vicriviroc,-7.3,61.8,533.639,4.50074,0,6,11,2,66,1,38,28,5,2,3
Elvitegravir,-7.2,88.76,447.89,4.281,2,6,11,3,37,2,23,23,1,5,1
Peramivir,-7.2,151.03,328.413,-0.3491,5,5,11,0,48,3,28,15,4,4,0
Remdesivir,-7.2,203.55,602.585,2.31218,4,13,19,3,61,2,35,27,6,8,0
Fosamprenavir,-7.1,177.72,585.616,2.5198,4,10,18,2,61,4,36,25,3,9,0
Maraviroc,-7.1,63.05,513.677,5.95092,1,5,11,2,70,1,41,29,5,1,2
Abacavir,-7.0,101.88,286.339,1.0923,3,7,6,2,31,1,18,14,6,1,0
Tenofovir,-7.0,136.38,287.216,-0.0512,3,9,9,2,23,1,14,9,5,4,0
Boceprevir,-6.9,150.7,519.687,1.7112,4,5,10,0,79,5,45,27,5,5,0
Tenofovir Disoproxil,-6.9,185.44,519.448,3.0356,1,15,19,2,53,3,30,19,5,10,0
Valaciclovir,-6.8,151.14,324.341,-0.7976,3,9,11,2,32,2,20,13,6,4,0
Tipranavir,-6.7,105.59,602.675,7.3255,2,6,14,3,56,4,33,31,2,5,3
Valganciclovir,-6.7,171.37,354.367,-1.4367,4,10,13,2,36,2,22,14,6,5,0
Vidarabine,-6.7,139.54,267.245,-1.98,4,9,6,2,24,0,13,10,5,4,0
Arbidol,-6.6,54.7,513.885,5.5988,1,6,12,3,40,1,26,22,2,3,0
Loviride,-6.6,72.19,351.233,4.14292,2,3,7,2,26,2,16,17,2,2,0
Trifluridine,-6.6,104.55,296.201,-0.8039,3,6,4,1,24,2,11,10,2,5,3
Adefovir,-6.5,136.38,273.189,-0.4397,3,9,8,2,20,1,12,8,5,4,0
Ganciclovir,-6.5,139.28,255.234,-1.9709,4,8,8,2,21,1,13,9,5,4,0
Inosine,-6.5,133.49,268.229,-2.2689,4,8,5,2,22,1,12,10,4,5,0
Nevirapine,-6.5,58.12,266.304,2.65122,1,4,2,2,24,1,14,15,4,1,0
Ribavirin,-6.5,143.72,244.207,-3.0115,4,8,6,1,24,1,12,8,4,5,0
Penciclovir,-6.4,130.05,253.262,-1.3073,4,7,8,2,23,1,15,10,5,3,0
Darunavir,-6.3,140.42,547.674,2.3753,3,8,15,2,63,3,37,27,3,7,0
Telbivudine,-6.3,104.55,242.231,-1.51428,3,6,5,1,24,2,14,10,2,5,0
Tenofovir Alafenamide,-6.3,143.48,476.474,2.9729,2,10,16,3,46,2,29,21,6,5,0
Cocaine,-6.2,55.84,303.358,1.8677,0,5,5,1,37,2,21,17,1,4,0
Viramidine,-6.2,150.5,243.223,-2.82633,5,8,6,1,25,1,13,8,5,4,0
Zanamivir,-6.2,200.72,332.313,-3.7855,7,8,10,0,39,4,20,12,4,7,0
Zidovudine,-6.2,133.08,267.245,-0.19628,2,6,5,1,23,4,13,10,5,4,0
Didanosine,-6.1,93.03,236.231,-0.2105,2,6,3,2,20,1,12,10,4,3,0
Metisazone,-6.1,75.9,234.284,2.2112,2,4,3,2,15,2,10,10,4,1,0
Moroxydine,-6.1,100.72,171.204,-1.47323,3,2,0,0,23,2,13,6,5,1,0
Atripla,-6.0,388.74,1198.449,6.3655,6,28,25,4,105,8,53,45,9,19,4
Idoxuridine,-6.0,104.55,354.1,-1.2181,3,6,4,1,21,2,11,9,2,5,0
Imiquimod,-6.0,56.73,240.31,2.8227,1,4,5,3,21,0,16,14,4,0,0
Tromantadine,-6.0,41.57,280.412,1.6496,1,3,8,0,49,1,28,16,2,2,0
Emtricitabine,-5.9,90.37,247.251,-0.455,2,7,4,1,20,1,10,8,3,3,1
Acyclovir,-5.8,119.05,225.208,-1.3318,3,7,6,2,17,1,11,8,5,3,0
Stavudine,-5.8,84.32,224.216,-0.70908,2,5,4,1,20,3,12,10,2,4,0
Cidofovir,-5.7,147.9,279.189,-1.6618,4,9,10,1,24,2,14,8,3,6,0
Oseltamivir,-5.7,90.65,312.41,1.2854,2,5,12,0,47,3,28,16,2,4,0
